"termine_inglese","italiano_preferito","dominio","trattamento","nota"
"Diagnostics","Diagnostics","ospedali e orientamento","mantenere","Nome del reparto diagnostico negli annunci EHS; preservare per segnaletica e guide"
"Imprint Storage","Archivio impronte","medicina e rigenerazione","tradurre","Reparto che gestisce la conservazione delle impronte; maiuscola quando indica il reparto"
"Neurology department","reparto Neurology","ospedali e orientamento","tradurre_parzialmente","Reparto ospedaliero; mantenere Neurology per segnaletica e guide"
"Admissions","Admissions","ospedali e orientamento","mantenere","Reparto accettazione richiamato negli annunci; preservare per segnaletica e guide"
"Bias Free Zone","Zona libera da pregiudizi","politiche EHS","tradurre","Denominazione della politica EHS di trattamento imparziale; mantenere la maiuscola iniziale"
"EHS Addiction Center","EHS Addiction Center","ospedali e orientamento","mantenere","Nome del centro EHS dedicato alla cura delle dipendenze; preservare per lore e guide"
"cybernetic donor","donatore di impianti cibernetici","medicina e assistenza","tradurre","Persona iscritta al programma di donazione di impianti cibernetici EHS"
"You're cleared","Via libera","dogana e sicurezza","tradurre","Autorizzazione a proseguire dopo un controllo; non significa essere scagionati da un'accusa"
"Hold for scan","Resta immobile per la scansione","dogana e sicurezza","tradurre","Ordine di non muoversi durante la verifica d'identità"
"You're up","Tocca a te","code e controlli","tradurre","Invito rivolto alla persona successiva; non significa essere svegli"
"whiskey","whisky","bevande","tradurre_contestuale","Grafia italiana della bevanda generica; mantenere whiskey soltanto all'interno di nomi propri e identificativi come RAB-WHISKEY"
"Smoltz","Smoltz","bevande e lore","mantenere","Nome canonico della birra servita nei bar; conservare grafia e maiuscola"
"Tevar'","Tevar'","specie e lore","mantenere","Nome canonico abbreviato della specie Tevarin nella barzelletta del barista; preservare apostrofo e maiuscola"
"Whitley's","Whitley's","media e lore","mantenere","Forma abbreviata usata nel parlato per il programma di recensioni di Whitley; preservare per lore e riconoscibilità"
"Good riddance","Era ora","dialoghi burberi","adattare","Congedo sprezzante che esprime sollievo per la partenza dell'interlocutore"
"not half bad","niente male","dialoghi colloquiali","adattare","Litote positiva; non tradurre come non per metà cattivo"
"No sweat off my back","Non cambia niente per me","dialoghi burberi","normalizzare_sorgente","Espressione non standard che fonde no sweat e no skin off my back; rendere il senso di indifferenza"
"Lemon Lush","Lemon Lush","bevande e lore","mantenere","Nome proprio di cocktail; preservare per menu, lore e riconoscibilità"
"Crimson Blitz","Crimson Blitz","bevande e lore","mantenere","Nome proprio di cocktail; preservare per menu, lore e riconoscibilità"
"Terran Tea","Terran Tea","bevande e lore","mantenere","Nome proprio di cocktail; preservare per menu, lore e riconoscibilità"
"Banu Firesale","Banu Firesale","bevande e lore","mantenere","Nome proprio di cocktail; preservare per menu, lore e riconoscibilità"
"Cassellitos","Cassellitos","bevande e lore","mantenere","Nome proprio plurale della bevanda in promozione; preservare per menu e lore"
"HOV","HOV","trasporti e orientamento","mantenere","Sigla del mezzo di trasporto citato nel dialogo; preservare per riconoscibilità"
"trivia night","serata a quiz","intrattenimento","tradurre","Evento informale da locale basato su domande; evitare il calco notte delle curiosità"
"goes down easy","scende che è un piacere","bevande e dialoghi","adattare","Descrive una bevanda forte ma facile e gradevole da bere"
"Kacho to Go","Kacho to Go","marchi e ristorazione","mantenere","Slogan e denominazione di prodotto associata a Big Benny's; preservare grafia e maiuscole della battuta"
"make that a combo","farne un menu completo","ristorazione","adattare","Proposta di trasformare il singolo articolo in un pasto combinato; menu segue l'uso editoriale già adottato nel progetto"
"Coming right up","Arriva subito","servizio al banco","tradurre","Conferma che l'ordinazione viene preparata o consegnata immediatamente; non tradurre letteralmente come arrivo verso l'alto"
"Here's your order","Ecco la tua ordinazione","servizio al banco","tradurre","Formula pronunciata alla consegna del cibo o delle bevande"
"Order up","Ordinazione pronta","servizio al banco","tradurre","Chiamata che segnala un'ordinazione pronta; non è un imperativo a ordinare"
"Food's up","Cibo pronto","servizio al banco","tradurre","Chiamata breve che segnala che il cibo è pronto; non significa che il cibo è finito"
"Food's ready","Il cibo è pronto","servizio al banco","tradurre","Formula completa usata alla consegna del pasto"
"Watch it","Occhio","urti e avvertimenti","adattare","Avvertimento brusco dopo un urto; non è un invito a guardare un oggetto"
"EZ Hab","EZ Hab","luoghi e orientamento","mantenere","Nome canonico della struttura abitativa; preservare spaziatura e maiuscole per mappe e guide"
"Jobwell","Jobwell","aziende e orientamento","mantenere","Nome proprio del servizio o luogo associato agli sportelli TDD; preservare per lore e orientamento"
"TDD","TDD","organizzazioni e orientamento","mantenere","Sigla canonica della Divisione Commercio e Sviluppo; mantenere quando la sorgente usa la sigla"
"manager","responsabile","servizio clienti","tradurre_contestuale","Figura responsabile chiamata a gestire il reclamo; evitare l'anglicismo quando non è un titolo proprio"
"best bet","soluzione migliore","espressioni idiomatiche","adattare","Indica l'opzione più efficace o sicura; non tradurre letteralmente come scommessa"
"sort you out","risolvere il problema / aiutare","servizio clienti","adattare","Portare a soluzione la richiesta del cliente; non indica mettere in ordine la persona"
"watch your tone","abbassare i toni","conflitto verbale","adattare","Avvertimento a moderare il modo di parlare; non tradurre letteralmente come guardare il tono"
"boarding","abbordaggio","combattimento spaziale","tradurre","Ingresso ostile di incursori a bordo di una nave; distinguere dall'imbarco ordinario secondo il contesto"
"boarders","incursori / squadra d'abbordaggio","combattimento spaziale","tradurre_contestuale","Forze ostili già penetrate nella nave; evitare il calco poco naturale abbordatori quando il parlato richiede immediatezza"
"fishing hover","hovercraft da pesca","veicoli e dialoghi","tradurre_contestuale","Mezzo da pesca a sostentamento citato dal capitano come progetto per la pensione"
"dead in the water","immobilizzato","stato dei veicoli","adattare","Nave priva di mobilità o controllo; non mantenere il riferimento letterale all'acqua nello spazio"
"running on fumes","essere praticamente a secco","carburante e dialoghi","adattare","Indica carburante quasi esaurito; rendere con un idioma italiano naturale"
"weapons dry","armi scariche","combattimento e munizioni","adattare","Chiamata militare che segnala l'esaurimento delle munizioni disponibili"
"all green","tutto operativo","stato dei sistemi","adattare","Segnalazione che sistemi o indicatori sono regolari; non tradurre meccanicamente il colore quando il contesto è operativo"
"shield genny","generatore di scudi","veicoli e parlato tecnico","tradurre","Abbreviazione colloquiale di shield generator; conservare il tono rapido senza mantenere l'inglese"
"serve a stretch","scontare un po' di galera","criminalità e dialoghi","adattare","Espressione colloquiale per trascorrere un periodo in carcere"
"outgunned","svantaggiato in potenza di fuoco","combattimento tattico","adattare","Indica inferiorità negli armamenti o nel volume di fuoco disponibile"
"outclassed","nettamente superiore / inferiore","valutazione tattica","tradurre_contestuale","Confronto di capacità complessive; la direzione dipende dal soggetto della frase"
"dead to rights","avere in pugno","espressioni di combattimento","adattare","Avere l'avversario senza vie d'uscita o chiaramente sconfitto; evitare calchi su diritti o morte"
"pace yourselves","dosate le forze","combattimento tattico","adattare","Invito plurale a gestire energie e risorse durante uno scontro lungo"
"ram","speronare","combattimento spaziale","tradurre","Colpire intenzionalmente un'altra nave con il proprio scafo"
"fight dirty","giocare sporco","combattimento e insulti","adattare","Combattere con metodi sleali o scorretti"
"asking for it","andarsela a cercare","minacce e dialoghi","adattare","Avvertimento che un'altra provocazione causerà una reazione ostile"
"scavs","sciacalli","combattimento e criminalità","adattare","Forma dispregiativa abbreviata di scavengers rivolta a predoni e saccheggiatori; non confondere con un nome proprio di fazione"
"cover fire","fuoco di copertura","combattimento tattico","tradurre","Fuoco alleato destinato a proteggere una nave o consentirle di recuperare"
"Roger","Ricevuto","comunicazioni radio","tradurre","Conferma radio di ricezione e comprensione di un ordine"
"get hit exertion","get hit exertion","marcatori di recitazione","mantenere","Indicazione tecnica di sforzo vocale; nel gruppo del capitano manca delle parentesi angolari presenti nelle famiglie parallele, quindi preservare letteralmente in attesa di verifica runtime"
"on our last legs","essere agli sgoccioli","stato dei veicoli","adattare","Indica una nave prossima alla distruzione e con pochissima capacità residua"
"back-up","rinforzi / supporto","combattimento tattico","tradurre_contestuale","Aiuto militare aggiuntivo; distinguere dalla copia di sicurezza informatica"
"ground fire","fuoco da terra","combattimento tattico","tradurre","Attacco proveniente da postazioni o unità sulla superficie"
"planetside","dalla superficie / sulla superficie","luoghi e combattimento","tradurre_contestuale","Indica il lato planetario o la superficie in contrasto con lo spazio"
"easy pickings","preda facile","minacce e combattimento","adattare","Bersaglio ritenuto semplice da sconfiggere o depredare"
"friendly","alleato / dei nostri","combattimento e identificazione","tradurre_contestuale","Unità appartenente alla stessa parte; non descrive necessariamente un atteggiamento amichevole"
"lay off the trigger","togliere il dito dal grilletto","disciplina di combattimento","adattare","Ordine immediato di smettere di sparare"
"buff right out","basterà una lucidata","danni e sarcasmo","adattare","Battuta sarcastica che minimizza un danno alla carrozzeria o allo scafo"
"drawn-out death scream","drawn-out death scream","marcatori di recitazione","mantenere","Indicazione tecnica per un urlo di morte prolungato; preservare letteralmente perché la sorgente la fornisce senza delimitatori"
"medium-length death scream","medium-length death scream","marcatori di recitazione","mantenere","Indicazione tecnica per un urlo di morte di media durata; preservare letteralmente perché la sorgente la fornisce senza delimitatori"
"short death scream","short death scream","marcatori di recitazione","mantenere","Indicazione tecnica per un urlo di morte breve; preservare letteralmente perché la sorgente la fornisce senza delimitatori"
"last call","ultimo avvertimento","minacce e combattimento","tradurre_contestuale","Nel duello finale introduce l'ultima possibilità di ritirarsi; non indica una telefonata o l'ultima ordinazione del bar"
"life saver","persona che salva la vita / mi hai salvato la vita","ringraziamenti","adattare","Elogio rivolto a chi ha soccorso il parlante; preferire una frase priva di genere quando il giocatore è variabile"
"neeko","neeko","gergo non verificato","mantenere","Termine isolato usato dal capitano per aggressori comparsi all'improvviso; non ricorre altrove nella sorgente e non ha una spiegazione canonica verificata, quindi preservare minuscolo in attesa di controllo audio o lore"
"even the odds","riequilibrare le forze","combattimento tattico","adattare","Ridurre il vantaggio numerico o militare dell'avversario intervenendo come rinforzo"
"get the drop on","cogliere di sorpresa","imboscate e combattimento","adattare","Ottenere il vantaggio iniziale attaccando prima che il bersaglio si accorga della minaccia"
"first rodeo","non essere nato ieri","esperienza e provocazioni","adattare","Dichiarazione colloquiale di esperienza; evitare il riferimento letterale a un rodeo inesistente nel contesto"
"interdiction field","campo d'interdizione","viaggio quantico e combattimento","tradurre","Campo che impedisce o interrompe il viaggio quantico; mantenere distinto dalla semplice rete metaforica"
"missile tracking","missile in inseguimento","combattimento spaziale","tradurre_contestuale","Missile che segue il bersaglio; nel parlato usare una frase naturale come un missile ti sta inseguendo"
"try this on for size","e allora prova questo","provocazioni","adattare","Sfida lanciata insieme a un attacco; non riguarda la misura di un oggetto o indumento"
"uncalled for","potevi risparmiartela","reazioni e rimproveri","adattare","Giudizio che considera un'azione eccessiva o ingiustificata"
"back off","allontanarsi / farsi indietro","prossimità e minacce","tradurre_contestuale","Ordine a creare distanza; nei dialoghi di volo evitare il calco arretrare quando il senso è lasciare spazio"
"hang on by a bolt and a prayer","reggersi su un bullone e una preghiera","danni e modi di dire","adattare","Immagine iperbolica di una nave vicina al cedimento; preservare il tono da pilota senza intenderla alla lettera"
"leave someone hanging","piantare qualcuno in asso","abbandono e contratti","adattare","Lasciare una persona senza l'aiuto o l'appoggio promesso"
"leave someone high and dry","abbandonare qualcuno in mezzo ai guai","abbandono e contratti","adattare","Lasciare una persona in difficoltà e senza risorse; nessun riferimento letterale all'acqua"
"smarten up","mettere giudizio","provocazioni","adattare","Suggerisce sarcasticamente che il bersaglio sia finalmente diventato più ragionevole"
"sorry ass","nullità / miserabile","insulti","adattare","Insulto sprezzante da rendere senza attribuire arbitrariamente un genere al giocatore"
"quantum out","entrare in QT / fuggire in QT","viaggio quantico e gergo","adattare","Verbo colloquiale usato per l'uscita dalla zona tramite viaggio quantico; mantenere QT per interfaccia e guide"
"run scared","darsela a gambe per la paura","ritirata e provocazioni","adattare","Fuga attribuita sarcasticamente alla paura del bersaglio"
"shake a missile","seminare un missile","combattimento spaziale","adattare","Eseguire manovre evasive fino a liberarsi del missile in inseguimento"
"missile locked on","missile agganciato","combattimento spaziale","tradurre","Missile che ha acquisito e mantiene il bersaglio"
"coming in hot","in arrivo a tutta velocità","combattimento e avvicinamento","adattare","Segnala un oggetto in rapido avvicinamento; non tradurre letteralmente il calore se il contesto è cinematico"
"sneak up on","avvicinarsi di soppiatto / sorprendere","imboscate e avvistamento","adattare","Avvicinarsi senza essere notati, spesso cogliendo il bersaglio di sorpresa"
"shipping lane","rotta commerciale","navigazione e logistica","tradurre","Rotta regolarmente usata dal traffico merci; distinta dal corridoio di volo locale"
"rookie move","mossa da dilettante","errori e autocritica","adattare","Decisione giudicata inesperta o imprudente; non introduce un grado o ruolo formale"
"shit-ton","fottio / quantità enorme","volgarità e quantità","adattare","Iperbole volgare per una quantità molto elevata; mantenere un registro forte quando coerente con il personaggio"
"have something up your sleeve","avere un asso nella manica","modi di dire e tattica","adattare","Disporre di una risorsa o soluzione nascosta da usare nel momento decisivo"
"make a stand","tenere duro / fermare il nemico","combattimento tattico","adattare","Opporre resistenza in una posizione decisiva invece di ritirarsi"
"no hard feelings","senza rancore","rapporti e congedi","adattare","Accettazione di un rifiuto senza risentimento personale"
"schedule to keep","tabella di marcia da rispettare","viaggi e congedi","adattare","Impegni temporali che impongono al pilota di ripartire"
"up and running","di nuovo operativo","riparazioni e sistemi","adattare","Sistema o veicolo tornato funzionante dopo un guasto"
"hiccup","intoppo","riparazioni e problemi","adattare","Problema temporaneo che ritarda un'operazione"
"overflow backed up","circuito di scarico intasato","riparazioni e sorgente ambigua","adattare_verificare","Resa funzionale provvisoria di una trascrizione tecnica ambigua; verificare contro l'audio prima del pacchetto finale"
"backup blew","circuito di riserva saltato","riparazioni e sistemi","adattare","Guasto del sistema ridondante durante un tentativo di riavvio; backup non indica una copia di dati"
"doomsday spread","salva da fine del mondo","missili e sarcasmo","adattare","Lancio eccessivo e spettacolare di numerosi missili"
"see someone the rest of the way","scortare qualcuno per il resto del viaggio","scorta e viaggi","adattare","Accompagnare e proteggere una persona fino alla destinazione"
"extra set of eyes","supporto di osservazione / tenere d'occhio la zona","scorta e sorveglianza","adattare","Aiuto aggiuntivo per individuare minacce; evitare il calco anatomico se suona innaturale"
"lean times","periodo con poco lavoro","lavoro e incarichi","adattare","Momento economicamente difficile in cui gli incarichi sono scarsi"
"knock out the objective","mettere fuori uso l'obiettivo","ordini tattici","tradurre","Neutralizzare la funzione operativa dell'obiettivo; non implica sempre la distruzione completa"
"get on the clock","mettersi al lavoro / al lavoro","ordini e urgenza","adattare","Invito a iniziare immediatamente l'azione; non riguarda prendere o guardare un orologio"
"under your watch","sotto la propria protezione","difesa e responsabilità","adattare","Affida al destinatario la sicurezza del bersaglio"
"low sig","firma bassa","furtività e sensori","tradurre_gergo","Abbreviazione tattica di low signature; nel comando usare mantenere bassa la firma"
"hold position","mantenere la posizione","ordini tattici","tradurre","Restare nel punto assegnato senza avanzare o ritirarsi"
"hang back","restare indietro","ordini tattici","adattare","Mantenersi a distanza senza abbandonare l'area"
"fall back","ripiegare","ritirata e combattimento","tradurre","Ritirarsi in modo tattico verso una posizione più sicura"
"bounce","filarsela","ritirata e gergo","adattare_contestuale","Nel parlato del capitano significa lasciare rapidamente la zona; non confondere con il rimbalzo del Sataball"
"keep it tight","mantenere una formazione serrata","formazioni e combattimento","adattare","Ordine a ridurre la distanza fra unità e non disperdere la formazione"
"give in to demands","cedere alle richieste","resa e negoziazione","adattare","Accettare le condizioni avversarie perché non si ritiene possibile continuare a resistere"
"SOB","figlio di puttana","insulti e abbreviazioni","adattare","Abbreviazione volgare di son of a bitch; conservarne l'intensità senza lasciare la sigla inglese"
"make a break for it","tentare la fuga","ritirata e combattimento","adattare","Provare a lasciare rapidamente lo scontro approfittando della copertura"
"cover the exit","coprire la ritirata","ritirata e combattimento","adattare","Proteggere un'unità mentre abbandona l'area di combattimento"
"sight for sore eyes","che sollievo vederti","sollievo e rinforzi","adattare","Esprime forte sollievo all'arrivo di una persona attesa; evitare riferimenti letterali agli occhi doloranti"
"do a number on","conciare male","danni e modi di dire","adattare","Causare danni considerevoli a un veicolo o a una persona"
"take the pressure off","tenere lontani i nemici / alleggerire la pressione","supporto in combattimento","adattare","Ridurre gli attacchi subiti da un alleato attirando o impegnando gli avversari"
"need a good seeing to","avere bisogno di una bella lezione","minacce e provocazioni","adattare","Minaccia colloquiale di affrontare duramente qualcuno; non riguarda la vista"
"show someone what's what","far vedere chi comanda","provocazioni e combattimento","adattare","Dimostrare con la forza la propria superiorità o come stanno davvero le cose"
"put one's neck on the line","rischiare la pelle","rischio e ringraziamenti","adattare","Esporsi personalmente a un pericolo serio per aiutare qualcuno"
"bail someone out","togliere qualcuno dai guai","soccorso e ringraziamenti","adattare","Salvare una persona da una situazione difficile; non indica necessariamente una cauzione"
"MediUnit","MediUnit","sanità e luoghi","mantenere","Nome proprio del servizio o presidio medico; preservare per insegne, mappe e guide"
"Crusader Health Clinic","Crusader Health Clinic","sanità e luoghi","mantenere","Nome proprio della clinica Crusader; preservare per orientamento e guide"
"Maria, Pure of Heart","Maria, Pure of Heart","sanità e luoghi","mantenere","Nome proprio dell'ospedale di Lorville; preservare punteggiatura e maiuscole per mappe e guide"
"clamp it","applicare la pinza","medicina e chirurgia","adattare","Ordine operatorio di bloccare o stringere con una pinza; evitare il prestito clamp nel testo visibile"
"anticoagulant","anticoagulante","medicina e farmaci","tradurre","Farmaco che riduce la coagulazione del sangue"
"vitals","parametri vitali","medicina e monitoraggio","tradurre","Valori clinici essenziali del paziente monitorati durante un intervento"
"catastrophic injury","trauma gravissimo","medicina e convalescenza","adattare","Lesione estremamente grave; in dialogo clinico preferire trauma gravissimo al calco catastrofico"
"vertigo","senso di vertigine","medicina e sintomi","tradurre","Possibile effetto transitorio avvertito dopo il trattamento"
"CommArray","CommArray","comunicazioni e luoghi","mantenere","Denominazione canonica delle stazioni di comunicazione UEE; preservare grafia e maiuscola per interfaccia, mappe e guide"
"CommArray Protection Act","CommArray Protection Act","leggi e lore","mantenere","Titolo proprio della normativa di protezione delle CommArray; preservare per coerenza con la lore"
"UEE Law","legge UEE","leggi e sicurezza","tradurre","Riferimento generico alla normativa dell'UEE, non titolo proprio di una legge"
"security protocols","protocolli di sicurezza","sicurezza e sistemi","tradurre","Procedure automatiche attivate in caso di intrusione o manomissione"
"stand clear","tenersi a distanza","avvisi di sicurezza","tradurre","Ordine impersonale a non sostare vicino a pannelli o parti in movimento"
"back online","di nuovo operativo","sistemi e comunicazioni","adattare","Sistema ripristinato e nuovamente disponibile dopo un'interruzione"
"ping (notification)","notifica","comunicazioni e contratti","tradurre_contestuale","Avviso ricevuto su una variazione del contratto; distinto dall'impulso di scansione e dalla latenza di rete"
"pull the contract","ritirare il contratto","contratti e missioni","adattare","Revocare un incarico non più proseguibile; non descrive un movimento fisico"
"not the right fit","non essere il lavoro giusto","lavoro e motivazione","adattare","Formula conciliatoria secondo cui un incarico non era adatto alla persona o alla situazione"
"behind the eight ball","con le spalle al muro","difficoltà e modi di dire","adattare","Trovarsi in una posizione molto sfavorevole; evitare riferimenti letterali al biliardo"
"pull one's weight","fare la propria parte","lavoro e responsabilità","adattare","Fornire il contributo atteso all'interno di uno sforzo collettivo"
"back in the running","tornare in gara / tornare in gioco","competizione aziendale","adattare","Recuperare una posizione competitiva dopo essere rimasti indietro"
"thank you for being","grazie di esserci","tono aziendale","adattare","Frase sorgente tronca trasformata in una formula motivazionale coerente con la voce di Denver Samuels"
"Commander Herdsman","Comandante Herdsman","personaggi e gradi","tradurre_titolo","Mantenere il nome proprio Herdsman e tradurre il grado; usare la maiuscola nel titolo ricorrente del personaggio"
"scan point","punto di scansione","missioni dinamiche e scansione","tradurre","Punto operativo da mettere in sicurezza per localizzare la flotta dei Nine Tails"
"scan site","sito di scansione","missioni dinamiche e scansione","tradurre","Area fisica assegnata alle navi da scansione; mantenere distinto dal singolo punto"
"scan area","area di scansione","missioni dinamiche e scansione","tradurre","Zona più ampia che contiene o circonda il punto di scansione"
"secure the site","mettere in sicurezza il sito","missioni e sicurezza","tradurre","Eliminare le minacce presenti affinché le unità di scansione possano operare"
"full-out brawl","scontro totale","combattimento e minacce","adattare","Combattimento esteso e senza risparmio di forze; evitare il riferimento letterale a una rissa"
"beat around the bush","girarci intorno","confronto e modi di dire","adattare","Evitare di affrontare direttamente un argomento spiacevole"
"give a hundred and ten percent","dare il centodieci per cento","motivazione e operazioni","adattare","Iperbole motivazionale che richiede il massimo impegno possibile"
"sorely mistaken","sbagliarsi di grosso","valutazioni e minacce","adattare","Essere profondamente in errore riguardo alle proprie possibilità"
"protective detail","unità di protezione","sicurezza e operazioni","tradurre_contestuale","Gruppo coordinato per rendere sicuro un sito operativo"
"(defeated)","(defeated)","marcatori di recitazione","mantenere","Indicazione tecnica di tono sconfitto; preservare esattamente fra parentesi nel testo sorgente"
"(upbeat)","(upbeat)","marcatori di recitazione","mantenere","Indicazione tecnica di tono positivo; preservare esattamente fra parentesi nel testo sorgente"
"scanning ship","nave da scansione","missioni dinamiche e sicurezza","tradurre","Variante estesa di scan ship; applicare la stessa terminologia"
"quantum dampening array","rete d'interdizione quantica","interdizione quantica","tradurre","Schieramento coordinato di navi o dispositivi che mantiene il blocco del viaggio quantico"
"Quantum is back","viaggio quantico di nuovo disponibile","interdizione quantica e radio","adattare","Conferma colloquiale che l'interdizione è cessata e il viaggio quantico può essere usato di nuovo"
"call in the big guns","far arrivare i pezzi grossi","rinforzi e combattimento","adattare","Richiamare rinforzi molto più potenti; nel contesto anticipa una grande nave dei Nine Tails"
"quantum to a location","raggiungere una posizione in viaggio quantico","viaggio quantico e gergo","adattare","Uso verbale colloquiale di quantum per indicare uno spostamento rapido verso una destinazione"
"thin their numbers","assottigliare le loro forze","combattimento e valutazione","adattare","Ridurre progressivamente il numero di unità nemiche ancora operative"
"keep the pressure up","continuare a mettere pressione","combattimento e ordini","adattare","Mantenere l'offensiva senza concedere al nemico tempo per riorganizzarsi"
"stand a chance","avere una possibilità / avere scampo","probabilità e combattimento","adattare","Disporre di possibilità realistiche di successo o sopravvivenza"
"against the ropes","alle corde","combattimento e modi di dire","adattare","Nemico vicino alla sconfitta e con poche possibilità di reagire"
"barely hanging on","vicino al collasso","danni e stato operativo","adattare","Sistema o schieramento che riesce a rimanere attivo solo a fatica"
"quantum dampening ship","nave inibitrice quantica","interdizione quantica","tradurre","Nave che contribuisce direttamente alla rete d'interdizione e al blocco del viaggio quantico"
"at all costs","a ogni costo","ordini e priorità","adattare","Ordine di proteggere o raggiungere un obiettivo indipendentemente dal rischio"
"down to the last","restare con un solo elemento","perdite e stato operativo","adattare","Indica che tutte le unità tranne una sono state perdute"
"stand by for coordinates","restare in attesa delle coordinate","comunicazioni e navigazione","tradurre","Ordine radio di attendere l'invio della prossima destinazione; non è una domanda"
"move on to the next scan point","passare al punto di scansione successivo","missioni dinamiche e scansione","tradurre","Abbandonare un sito non più utilizzabile e proseguire con la fase successiva"
"cruiser","incrociatore","classi di navi","tradurre","Classe generica di nave da combattimento; mantenere invece gli eventuali nomi propri dei modelli"
"fighter","caccia","classi di navi","tradurre","Nave da combattimento agile; in italiano caccia è maschile e invariabile al plurale"
"flagship","nave ammiraglia","flotte e classi di navi","tradurre","Unità principale o di comando di una flotta; non è necessariamente un modello specifico"
"done for","spacciato / ormai finito","abbattimenti e stato operativo","adattare","Veicolo o nemico senza possibilità realistica di recupero"
"on the run","in fuga","ritirata e combattimento","adattare","Forza nemica costretta ad abbandonare lo scontro dopo una sconfitta"
"radar clear","nessun contatto sul radar","sensori e comunicazioni","adattare","Conferma che il radar non rileva bersagli; evitare il calco innaturale radar pulito"
"stay sharp","restare vigili / restare in allerta","sicurezza e combattimento","adattare","Mantenere alta l'attenzione perché potrebbero arrivare nuove minacce"
"catch one's breath","riprendere fiato","pausa e combattimento","adattare","Recuperare brevemente dopo uno scontro senza abbandonare la prontezza operativa"
"rejoin the operation","rientrare nell'operazione","missioni e richiami","tradurre","Tornare nell'area della missione e riprendere il combattimento"
"welcome to the mix","eccoti nella mischia","combattimento e accoglienza","adattare","Saluto a chi entra in uno scontro già in corso; evitare benvenuto per non assegnare genere al giocatore"
"aim true","mirare con precisione","combattimento e incoraggiamento","adattare","Augurio o ordine a sparare con precisione"
"fair game","bersaglio valido","combattimento e priorità","adattare","Qualunque ostile che può essere attaccato legittimamente anche se non è la priorità principale"
"take your pick","scegliere da dove cominciare","scelte e combattimento","adattare","Invito a selezionare liberamente uno dei numerosi bersagli disponibili"
"mean business","fare sul serio","minacce e combattimento","adattare","Dimostrare intenzioni concrete e aggressive, non svolgere affari commerciali"
"in sight","in vista","avvistamento e sensori","adattare","Unità visibile direttamente o rilevabile nell'area immediata"
"make one's way here","raggiungere la posizione","movimento e rinforzi","adattare","Spostarsi verso il parlante o il punto operativo indicato"
"crawl all over the area","infestare l'intera area","presenza nemica","adattare","Iperbole per numerosi ostili disseminati nella zona; non riguarda il movimento a terra"
"look alive","occhi aperti","ordini e allerta","adattare","Richiamo militare a prestare attenzione e reagire rapidamente"
"redeploy","schierare di nuovo","operazioni e unità","tradurre","Inviare nuovamente un'unità dopo uno spostamento o una precedente ritirata"
"sweep the area","perlustrare l'area","pattugliamento e sicurezza","adattare","Controllare metodicamente una zona per rilevare e contrastare eventuali ostili"
"protection duty","servizio di scorta / essere di scorta","difesa e incarichi","adattare","Compito operativo di proteggere unità alleate o un obiettivo"
"on full alert","in massima allerta","sicurezza e combattimento","adattare","Stato di attenzione operativa elevata in previsione di un attacco imminente"
"welcome to the fray","eccoti nella mischia","combattimento e accoglienza","adattare","Saluto rivolto a chi entra in uno scontro già in corso; formulazione neutra rispetto al genere del giocatore"
"hearty hello","caloroso benvenuto","provocazioni di combattimento","adattare","Invito ironico ad accogliere il nemico con il fuoco delle armi"
"you're dismissed","puoi andare / puoi ritirarti","ordini e congedo","adattare","Congedo impartito al giocatore; preferire una costruzione neutra al posto di congedato o congedata"
"run for ground","darsi alla fuga","fuga e combattimento","adattare","Nel contesto della battaglia spaziale indica il tentativo dei nemici di sottrarsi allo scontro"
"hold something back","risparmiarsi qualcosa","risorse e combattimento","adattare","Non impiegare ancora tutte le armi o le risorse disponibili; in un ultimo assalto invita a usarle"
"break off engagement","interrompere lo scontro / disimpegnarsi","ordini e combattimento","adattare","Cessare il combattimento in corso per raggiungere un nuovo obiettivo"
"be on high alert","essere in massima allerta","sicurezza e combattimento","adattare","Mantenere il livello massimo di attenzione operativa per proteggere unità vulnerabili"
"get the better of","avere la meglio su","esiti di combattimento","adattare","Prevalere nello scontro costringendo l'altra parte ad abbandonare il proprio obiettivo"
"be on the lookout","restare vigili / vigilare","sicurezza e pattugliamento","adattare","Prestare attenzione all'arrivo di minacce; la forma nominale inglese corretta sarebbe lookout in una sola parola"
"crash the party","rovinare la festa","minacce e tono colloquiale","adattare","Arrivare improvvisamente e interrompere con la forza una situazione favorevole"
"recalibrate position","ricalibrare la posizione","scansione e formazioni","tradurre","Correggere la collocazione operativa di una nave per migliorare la qualità della scansione"
"reposition","riposizionare","movimento e formazioni","tradurre","Spostare un'unità o una formazione in una nuova posizione operativa"
"turn oneself in","costituirsi","legalità e forze dell'ordine","adattare","Presentarsi spontaneamente alle autorità per risolvere il proprio livello criminale"
"sever ties","interrompere ogni rapporto","rapporti e incarichi","adattare","Porre formalmente fine alla collaborazione con una persona o organizzazione"
"bail on someone","abbandonare qualcuno","abbandono e disapprovazione","adattare","Lasciare gli alleati nel mezzo di un'operazione senza portare a termine l'incarico"
"see something through","arrivare fino in fondo","incarichi e determinazione","adattare","Proseguire un'operazione fino al suo completamento nonostante le difficoltà"
"come in hot","arrivare a tutta velocità","combattimento e rinforzi","adattare","Ingresso rapido e aggressivo di unità nemiche nell'area operativa"
